y,yhat
0,0.355254
1,0.631765
1,0.664046
0,0.14211
0,0.17817
0,0.283045
0,0.060965
1,0.510116
0,0.405148
1,0.714883
0,0.054326
1,0.871731
1,0.879376
0,0.349396
0,0.208931
0,0.339385
0,0.14916
0,0.094026
0,0.448033
0,0.39173
0,0.435775
0,0.24589
0,0.160395
0,0.098182
0,0.258655
1,0.713128
0,0.31044
0,0.144845
0,0.119938
0,0.169934
0,0.310661
0,0.44316
0,0.152735
1,0.758596
1,0.698402
1,0.82008
0,0.154581
0,0.311667
0,0.168932
0,0.200262
0,0.444874
0,0.586338
0,0.54937
1,0.849426
0,0.199486
0,0.172164
0,0.136815
0,0.367838
0,0.139302
0,0.49918
1,0.700519
1,0.605435
1,0.649061
1,0.390162
0,0.255659
1,0.943916
0,0.54164
0,0.301581
0,0.270295
0,0.104538
0,0.225003
0,0.091459
1,0.679613
0,0.041859
0,0.649238
0,0.281072
0,0.291343
1,0.807755
0,0.18969
1,0.752539
1,0.85111
0,0.463607
0,0.267258
1,0.930782
1,0.443756
1,0.602013
1,0.820756
0,0.353154
0,0.232142
0,0.238439
1,0.555823
0,0.413321
0,0.141278
0,0.278941
0,0.477018
0,0.361797
1,0.75168
0,0.346225
1,0.760588
0,0.226908
0,0.150516
1,0.587814
1,0.473039
0,0.137516
1,0.737255
0,0.166741
0,0.128756
0,0.326856
0,0.115763
0,0.338417
0,0.359838
0,0.173783
0,0.278303
0,0.674195
1,0.50061
0,0.224494
0,0.598347
1,0.687025
0,0.403168
0,0.52805
0,0.459943
0,0.335461
1,0.855811
1,0.457915
0,0.233583
1,0.699151
1,0.503762
0,0.293247
1,0.666386
0,0.146188
1,0.727435
1,0.513014
0,0.152659
0,0.329094
0,0.303409
0,0.266243
1,0.395
1,0.55704
0,0.542115
0,0.166931
0,0.312503
0,0.575486
0,0.425089
0,0.603467
1,0.921975
0,0.2087
0,0.480718
1,0.807922
0,0.137013
1,0.66339
1,0.870486
0,0.299208
0,0.268489
0,0.314492
0,0.166359
0,0.03518
0,0.345881
0,0.348472
0,0.082141
0,0.215715
1,0.661764
0,0.416718
